,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,precip_type_-9999,precip_type_-9999.,precip_type_rain,icon_Breezy and Foggy,icon_Clear,icon_Foggy,icon_Humid,icon_Humid and Foggy,icon_Humid and Mostly Cloudy,icon_Humid and Overcast,icon_Humid and Partly Cloudy,icon_Light Rain,icon_Light Rain and Humid,icon_Mostly Cloudy,icon_Overcast,icon_Partly Cloudy,icon_Possible Drizzle and Humid,icon_Possible Light Rain,icon_Possible Light Rain and Humid,icon_Rain,icon_Rain and Humid,week_of_year,pahar,lead_15Mins,lead_30Mins,lead_45Mins,lead_60Mins
539,2017-10-23 11:00:00,0.0,32.32,32,0,16.25,270,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
540,2017-10-23 12:00:00,0.0,31.62,32,0,12.39,292,1.11,-9999.0,1009.02,-9999,-9999.0,-9999.0,-9999.0,2.51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
541,2017-10-23 13:00:00,0.0,34.43,34,0,14.51,20,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.07,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
542,2017-10-23 14:00:00,0.0,35.57,36,0,10.48,355,0.75,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
543,2017-10-23 15:00:00,0.16,35.7,36,0,10.42,239,0.14,-9999.0,1006.52,-9999,-9999.0,-9999.0,-9999.0,3.52,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
544,2017-10-23 16:00:00,0.0,34.46,34,0,10.82,0,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
545,2017-10-23 17:00:00,-9999.0,33.34,33,0,12.5,340,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
546,2017-10-23 18:00:00,0.0,30.42,30,0,14.18,352,0.62,-9999.0,1006.9,-9999,-9999.0,-9999.0,-9999.0,2.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
558,2017-10-24 06:00:00,0.0,17.77,18,1,13.61,284,0.73,-9999.0,1010.94,-9999,-9999.0,-9999.0,-9999.0,2.24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
559,2017-10-24 07:00:00,0.0,18.89,19,1,12.85,320,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
560,2017-10-24 08:00:00,0.0,19.46,19,1,14.54,270,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
561,2017-10-24 09:00:00,0.0,20.23,20,1,12.72,284,0.93,-9999.0,1011.64,-9999,-9999.0,-9999.0,-9999.0,2.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
562,2017-10-24 10:00:00,0.0,27.79,27,0,15.62,265,1.56,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
563,2017-10-24 11:00:00,0.0,29.43,29,0,15.5,276,2.45,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
564,2017-10-24 12:00:00,0.0,31.17,31,0,14.76,284,1.34,-9999.0,1012.3,-9999,-9999.0,-9999.0,-9999.0,2.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
565,2017-10-24 13:00:00,0.0,32.78,33,0,11.3,320,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
566,2017-10-24 14:00:00,0.0,32.78,33,0,12.38,330,4.02,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
567,2017-10-24 15:00:00,0.0,33.91,34,0,11.4,319,1.31,-9999.0,1010.05,-9999,-9999.0,-9999.0,-9999.0,1.79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
568,2017-10-24 16:00:00,0.0,32.78,33,0,8.9,300,4.02,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
569,2017-10-24 17:00:00,0.0,31.11,31,0,9.88,320,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
570,2017-10-24 18:00:00,0.0,30.26,30,0,14.56,330,1.21,-9999.0,1008.62,-9999,-9999.0,-9999.0,-9999.0,2.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
582,2017-10-25 06:00:00,0.0,17.01,17,1,13.63,-9999,-9999.0,-9999.0,1013.61,-9999,-9999.0,-9999.0,-9999.0,1.32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
583,2017-10-25 07:00:00,0.0,18.89,19,1,12.16,230,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
584,2017-10-25 08:00:00,0.0,20.0,20,1,12.74,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
585,2017-10-25 09:00:00,0.0,20.16,20,1,13.13,238,0.8,-9999.0,1015.0,-9999,-9999.0,-9999.0,-9999.0,2.22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
586,2017-10-25 10:00:00,0.0,25.0,25,0,11.18,250,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
587,2017-10-25 11:00:00,0.0,27.22,27,0,12.04,270,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
588,2017-10-25 12:00:00,0.0,29.84,30,0,13.47,280,0.67,-9999.0,1015.19,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
589,2017-10-25 13:00:00,0.0,30.0,30,0,11.01,310,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
590,2017-10-25 14:00:00,0.0,32.22,32,0,12.42,310,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
591,2017-10-25 15:00:00,0.0,33.28,33,0,11.65,305,1.41,-9999.0,1012.51,-9999,-9999.0,-9999.0,-9999.0,2.27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
592,2017-10-25 16:00:00,0.0,32.22,32,0,10.26,320,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
593,2017-10-25 17:00:00,0.0,32.22,32,0,11.38,320,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
594,2017-10-25 18:00:00,0.0,28.57,29,0,15.17,346,0.56,-9999.0,1012.21,-9999,-9999.0,-9999.0,-9999.0,2.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
606,2017-10-26 06:00:00,0.0,15.91,16,1,12.65,-9999,-9999.0,-9999.0,1014.43,-9999,-9999.0,-9999.0,-9999.0,1.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
607,2017-10-26 07:00:00,0.0,17.78,18,1,12.87,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
608,2017-10-26 08:00:00,0.0,21.11,21,1,14.97,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
609,2017-10-26 09:00:00,0.0,19.82,20,1,13.33,165,0.33,-9999.0,1015.62,-9999,-9999.0,-9999.0,-9999.0,2.43,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
610,2017-10-26 10:00:00,0.0,28.89,29,0,12.72,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
611,2017-10-26 11:00:00,0.0,31.11,31,0,12.45,170,4.02,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
612,2017-10-26 12:00:00,0.0,31.23,31,0,13.46,150,1.1,-9999.0,1014.74,-9999,-9999.0,-9999.0,-9999.0,3.28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
613,2017-10-26 13:00:00,0.0,32.78,33,0,10.14,180,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
614,2017-10-26 14:00:00,0.0,33.89,34,0,12.79,200,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
615,2017-10-26 15:00:00,0.0,33.72,34,0,10.73,143,0.57,-9999.0,1012.35,-9999,-9999.0,-9999.0,-9999.0,3.46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
616,2017-10-26 16:00:00,0.0,32.22,32,0,12.42,90,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
617,2017-10-26 17:00:00,0.0,30.0,30,0,12.85,90,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
618,2017-10-26 18:00:00,0.15,30.63,31,0,14.77,74,0.7,-9999.0,1012.03,-9999,-9999.0,-9999.0,-9999.0,3.57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
630,2017-10-27 06:00:00,0.19,18.48,18,1,14.98,113,1.73,-9999.0,1013.98,-9999,-9999.0,-9999.0,-9999.0,2.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
631,2017-10-27 07:00:00,-9999.0,17.96,18,1,16.11,170,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
632,2017-10-27 08:00:00,0.0,20.25,20,1,17.21,100,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
633,2017-10-27 09:00:00,0.58,21.41,21,1,14.16,128,0.8,-9999.0,1015.21,-9999,-9999.0,-9999.0,-9999.0,2.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
634,2017-10-27 10:00:00,0.0,27.7,27,1,16.19,150,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
635,2017-10-27 11:00:00,0.0,28.89,29,0,15.04,160,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
636,2017-10-27 12:00:00,0.26,29.88,30,0,15.38,147,0.94,-9999.0,1013.89,-9999,-9999.0,-9999.0,-9999.0,2.95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
637,2017-10-27 13:00:00,0.0,31.11,31,0,12.45,220,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
638,2017-10-27 14:00:00,0.0,32.78,33,0,11.3,80,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
639,2017-10-27 15:00:00,0.31,32.78,33,0,12.48,154,0.41,-9999.0,1010.38,-9999,-9999.0,-9999.0,-9999.0,2.32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
640,2017-10-27 16:00:00,-9999.0,32.78,33,0,11.3,110,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
641,2017-10-27 17:00:00,0.0,31.11,31,0,12.92,80,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
642,2017-10-27 18:00:00,0.33,29.59,30,0,15.56,73,0.46,-9999.0,1010.2,-9999,-9999.0,-9999.0,-9999.0,2.74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
654,2017-10-28 06:00:00,0.0,16.64,17,1,14.06,-9999,0.0,-9999.0,1012.99,-9999,-9999.0,-9999.0,-9999.0,1.63,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
655,2017-10-28 07:00:00,0.0,18.89,19,1,14.97,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
656,2017-10-28 08:00:00,0.0,21.34,21,1,17.32,110,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
657,2017-10-28 09:00:00,0.19,20.99,21,1,14.82,147,0.8,-9999.0,1014.73,-9999,-9999.0,-9999.0,-9999.0,2.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
658,2017-10-28 10:00:00,0.0,27.89,28,0,15.08,150,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
659,2017-10-28 11:00:00,0.0,28.89,29,0,13.92,120,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
660,2017-10-28 12:00:00,0.0,29.78,30,0,14.66,121,0.65,-9999.0,1013.9,-9999,-9999.0,-9999.0,-9999.0,3.32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
661,2017-10-28 13:00:00,0.0,31.11,31,0,13.82,70,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
662,2017-10-28 14:00:00,0.0,32.22,32,0,14.79,130,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
663,2017-10-28 15:00:00,0.0,32.54,33,0,12.36,149,0.68,-9999.0,1011.04,-9999,-9999.0,-9999.0,-9999.0,3.41,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
664,2017-10-28 16:00:00,0.0,31.11,31,0,10.96,70,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
665,2017-10-28 17:00:00,0.0,31.11,31,0,10.96,20,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
666,2017-10-28 18:00:00,0.15,29.27,29,0,14.79,15,0.4,-9999.0,1010.94,-9999,-9999.0,-9999.0,-9999.0,3.46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
678,2017-10-29 06:00:00,0.0,17.11,17,1,13.69,150,1.34,-9999.0,1014.75,-9999,-9999.0,-9999.0,-9999.0,2.27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.0,0.0,0.08,0.34
679,2017-10-29 07:00:00,0.0,20.09,20,1,16.04,100,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0.8,1.4,2.23,3.13
680,2017-10-29 08:00:00,0.0,20.09,20,1,16.04,160,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6.24,5.1,6.08,7.04
681,2017-10-29 09:00:00,0.0,19.5,20,1,14.36,109,0.93,-9999.0,1016.75,-9999,-9999.0,-9999.0,-9999.0,2.14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,7.91,8.54,9.41,10.08
682,2017-10-29 10:00:00,0.0,26.19,26,1,16.06,120,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,10.6,11.05,11.69,12.09
683,2017-10-29 11:00:00,0.0,27.78,28,0,14.04,90,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,12.56,12.77,13.02,13.16
684,2017-10-29 12:00:00,0.0,28.52,28,0,16.15,95,0.9,-9999.0,1016.2,-9999,-9999.0,-9999.0,-9999.0,1.82,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.96,12.77,12.7,12.42
685,2017-10-29 13:00:00,0.0,31.11,31,0,12.45,80,2.68,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,12.08,12.07,11.38,10.78
686,2017-10-29 14:00:00,0.0,32.22,32,0,12.92,90,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,10.45,10.02,9.23,8.33
687,2017-10-29 15:00:00,0.19,31.73,32,0,14.26,108,0.2,-9999.0,1014.01,-9999,-9999.0,-9999.0,-9999.0,2.16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,7.42,6.35,5.35,4.11
688,2017-10-29 16:00:00,0.0,31.11,31,0,12.45,70,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2.98,1.98,1.21,0.64
689,2017-10-29 17:00:00,0.0,28.89,29,0,12.72,60,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.25,0.04,0.0,0.0
690,2017-10-29 18:00:00,0.0,28.84,29,0,15.61,86,0.4,-9999.0,1013.1,-9999,-9999.0,-9999.0,-9999.0,2.64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0.0,0.0,0.0,0.0
702,2017-10-30 06:00:00,0.0,17.13,17,1,14.94,-9999,-9999.0,-9999.0,1017.24,-9999,-9999.0,-9999.0,-9999.0,1.24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0.0,0.0,0.08,0.34
703,2017-10-30 07:00:00,0.0,20.25,20,1,17.21,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,0.97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0.8,1.4,2.23,3.13
704,2017-10-30 08:00:00,0.0,20.25,20,1,17.21,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,0.97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,6.24,5.1,6.08,7.04
705,2017-10-30 09:00:00,0.22,19.26,19,1,15.52,140,0.39,-9999.0,1018.4,-9999,-9999.0,-9999.0,-9999.0,1.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,7.91,8.54,9.41,10.08
706,2017-10-30 10:00:00,0.0,28.06,27,1,17.67,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,10.6,11.05,11.69,12.09
707,2017-10-30 11:00:00,0.0,28.12,28,0,16.07,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,12.56,12.77,13.02,13.16
708,2017-10-30 12:00:00,0.0,28.59,28,0,16.35,134,0.72,-9999.0,1017.01,-9999,-9999.0,-9999.0,-9999.0,1.35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,12.96,12.77,12.7,12.42
709,2017-10-30 13:00:00,0.0,30.0,30,0,13.7,320,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,12.08,12.07,11.38,10.78
710,2017-10-30 14:00:00,0.0,31.11,31,0,12.92,340,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,10.45,10.02,9.23,8.33
711,2017-10-30 15:00:00,0.0,31.64,32,0,15.98,320,0.43,-9999.0,1013.37,-9999,-9999.0,-9999.0,-9999.0,1.53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,7.42,6.35,5.35,4.11
712,2017-10-30 16:00:00,0.0,30.0,30,0,14.91,330,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,2.98,1.98,1.21,0.64
713,2017-10-30 17:00:00,0.0,28.89,29,0,13.92,350,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0.25,0.04,0.0,0.0
714,2017-10-30 18:00:00,0.0,29.13,29,0,16.44,326,1.92,-9999.0,1012.54,-9999,-9999.0,-9999.0,-9999.0,2.22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0.0,0.0,0.0,0.0
